brand;name;type;olfactive-family;pyramid_note;top_notes;middle_notes;base_notes;recommended_usage
Creed;Green Irish Tweed;Eau de Parfum;Fougère;Top/Middle/Base;Bergamot, Galbanum, Lemon, Mint, Verbena;Geranium, Lavender, Violet;Ambergris, Cedarwood, Oakmoss, Sandalwood;15-18%
Tom Ford;Grey Vetiver EDP;Eau de Parfum;Spicy, Woody;Top/Middle/Base;Clary Sage, Grapefruit, Orange Blossom;Nutmeg, Orris Root, Allspice;Amber, Oakmoss, Vetiver, Woody Notes;17-20%
Tom Ford;Grey Vetiver Parfum;Parfum;Woody, Spicy;Top/Middle/Base;Orange Blossom;Saffron;Vetiver;25-30%
Mancera;Gris;Eau de Parfum;Floral;Top/Middle/Base;Bergamot;Rose;Amber, Cedarwood, Sandalwood, Oakmoss;17-20%
BDK Parfums;Gris Charnel;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Cardamom, Fig, Black Tea;Iris, Vetiver;Sandalwood, Tonka Bean;17-18%
BDK Parfums;Gris Charnel Extrait;Parfum;Woody, Spicy;Top/Middle/Base;Cardamom, Fig, Black Tea;Iris, Vetiver, Cistus;Sandalwood, Vanilla, Tonka Bean, Cedarwood, Patchouli;22-24%
Guerlain;Guerl. Vetiver (Vintage);Eau de Toilette;Woody;Top/Middle/Base;Lime, Bergamot, Orange;Neroli, Nutmeg, Black Pepper;Vetiver, Tonka Bean;10%
Guerlain;Guerl. Vetiver Parfum;Eau de Parfum;Spicy, Woody;Top/Middle/Base;Bergamot, Juniper Berry, Orange;Vetiver, Nutmeg, Iris;Smoke, Licorice, Tonka Bean;15%
Parfums de Marly;Gyan;Eau de Parfum;Amber, Woody;Top/Middle/Base;Jasmine Sambac;Patchouli;Incense;20-23%
Hermes;H24 EDP;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Rosewood, Clary Sage;Narcissus;Oakmoss;15%
Parfums de Marly;Habdan;Eau de Parfum;Amber;Top/Middle/Base;Saffron, Frankincense;Apple, Woody Notes, Rose;Myrrh, Caramel, Ambergris;17-20%
Nishane;Hacivat;Parfum;Chypre;Top/Middle/Base;Pineapple, Grapefruit, Bergamot;Cedarwood, Patchouli, Jasmine;Oakmoss, Woody Notes;20-25%
Nishane;Hacivat X;Parfum;Chypre;Top/Middle/Base;Bergamot, Pineapple, Pink Pepper;Lime, Jasmine, Orange Blossom;Patchouli, Cedarwood, Vetiver;20-23%
Penhaligon's;Halfeti Cedar;Eau de Parfum;Woody, Spicy;Top/Middle/Base;Rum, Peach, Saffron, Cardamom;Virginian Cedarwood, Dried Fruits, Cinnamon, Mineral notes, Immortelle;Atlas Cedarwood, Vanilla, Tonka Bean, Patchouli, Labdanum;18-20%
Parfums de Marly;Haltane;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Clary Sage, Lavender, Bergamot;Saffron, Praline;Agarwood, Cedarwood;18-20%
Kilian;Heaven Can Wait;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Clove, Carrot Seeds, Allspice, Ambrette, Plum;Iris, Vetiver, Magnolia, Cashmeran, Cedarwood;Musk, Peach, Vanilla;20-22%
Parfums de Marly;Herod;Eau de Parfum;Woody, Spicy;Top/Middle/Base;Cinnamon, Black Pepper;Tobacco Leaf, Incense, Osmanthus, Labdanum;Vanilla, Musk, Cedarwood, Cypriol, Vetiver;20-22%
Initio;High Frequency;Eau de Parfum;Floral;Top/Middle/Base;Almond;Jasmine, Magnolia;Heliotrope, Vanilla, Sandalwood;18-20%
Creed;Himalaya;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Bergamot, Lemon, Mandarin Orange;Gunpowder, Juniper Berry, Nutmeg, Pepper, Lavender, Jasmine;Sandalwood, Vetiver, Cedarwood;15-20%
Tom Ford;Hindu Kush;Eau de Parfum;Amber, Woody;Top/Middle/Base;Cannabis, Incense, Labdanum, Spicy Notes;Patchouli, Woody Notes;Amber, Guaiac Wood, Vanilla, White Musk;20-25%
Montale;Honey Aoud;Eau de Parfum;Amber;Top/Middle/Base;Cinnamon;Honey, Leather, Flowers;Amber, Vanilla, Patchouli, Agarwood;20-22%
LancÃ´me;Idôle;Eau de Parfum;Floral, Chypre;Top/Middle/Base;Bergamot, Pear;Jasmine, Rose de Mai, Turkish Rose;Vanilla, White Musk;15-20%
Louis Vuitton;Imagination;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Citron, Bergamot, Orange;Ginger, Neroli, Cinnamon;Black Tea, Ambroxan, Olibanum, Guaiac Wood;20-22%
Amouage;Imitation Man;Eau de Parfum;Leather;Top/Middle/Base;Black Pepper, Citron, Nutmeg;Orris Root, Turkish Rose, Violet;Castoreum, Leather, Myrrh, Patchouli, Vetiver;10-15%
Prada;Infusion d’Iris;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Orange Blossom, Neroli, Orange, Mandarin Orange;Iris, Galbanum, Mastic;Incense, Virginian Cedarwood, Benzoin, Vetiver;18-20%
Prada;Infusion de Fleur d’Oranger;Eau de Parfum;Floral;Top/Middle/Base;Neroli, Mandarin Orange;Orange Blossom, Jasmine, Tuberose;Powdery Notes, Musk;20%
Prada;Infusion de Rose;Eau de Parfum;Floral;Top/Middle/Base;Mandarin Orange, Galbanum;Neroli, Bulgarian Rose, Turkish Rose;Musk;16-18%
Mancera;Instant Crush;Eau de Parfum;Amber, Floral;Top/Middle/Base;Saffron, Ginger, Mandarin Orange, Bergamot;Amberwood, Rose, Jasmine, Patchouli;Vanilla, White Musk, Sandalwood, Oakmoss;20-25%
Montale;Intense Café;Eau de Parfum;Oriental;Top/Middle/Base;Floral Notes;Coffee, Rose;Amber, Vanilla, White Musk;20-25%
Mancera;Intense Cedrat Boise;Parfum;Amber, Woody;Top/Middle/Base;Citruses, Black Currant, Spices;Leather, Sandalwood, Agarwood, Patchouli, Jasmine;Ambergris, Vanilla, White Musk, Oakmoss;20-25%
Amouage;Intense Oud;Eau de Parfum;Amber;Top/Middle/Base;Frankincense, Raspberry, Saffron, Pear;Damask Rose, Orange Blossom;Agarwood, Leather, Patchouli, Ambergris, Musk;17-20%
Amouage;Interlude Black Iris;Eau de Parfum;Amber, Woody;Top/Middle/Base;Violet Leaf, Rosemary, Bergamot;Orris Root, Olibanum, Myrrh, Labdanum, Amber, Vanilla;Leather, Agarwood, Sandalwood, Patchouli, Cedarwood;22-25%
Amouage;Interlude Man;Eau de Parfum;Amber, Woody;Top/Middle/Base;Bergamot, Oregano, Allspice;Amber, Frankincense, Opoponax, Cistus, Myrrh;Leather, Agarwood, Patchouli, Sandalwood;20-25%
Amouage;Interlude Woman;Eau de Parfum;Chypre, Floral;Top/Middle/Base;Bergamot, Grapefruit, Ginger, Tagetes;Frankincense, Rose, Orange Blossom, Helichrysum, Jasmine, Opoponax;Vanilla, Benzoin, Amber, Sandalwood, Agarwood, Oakmoss, Leather, Tonka Bean, Musk;20%
Paco Rabanne;Invictus;Eau de Toilette;Woody, Aquatic;Top/Middle/Base;Grapefruit, Mandarin Orange, Sea Notes;Jasmine, Laurel Leaf;Ambergris, Guaiac Wood, Oakmoss, Patchouli;10-12%
Paco Rabanne;Invictus Parfum;Eau de Parfum;Aquatic, Aromatic;Top/Middle/Base;Marine notes, Lavender, Pink Pepper;Soap, Violet Leaf, Myrtle;Musk, Cashmeran, Sandalwood;17-18%
Paco Rabanne;Invictus Platinum;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Absinthe, Grapefruit;Mint, Lavender;Cypress, Patchouli;16-18%
Paco Rabanne;Invictus Victory;Eau de Parfum;Amber;Top/Middle/Base;Pink Pepper, Lemon;Frankincense, Lavender;Vanilla, Tonka Bean, Amber;20%
Le Labo;Iris 39;Eau de Parfum;Floral, Chypre;Top/Middle/Base;Ginger, Lime, Rose, Cardamom;Violet, Ylang-Ylang, Orris Root;Musk, Patchouli, Civet;20-24%
Van Cleef & Arpels;Iris Tubéreuse;Eau de Parfum;Floral;Top/Middle/Base;Violet, Orange, Galbanum, Peach, Apricot, Banana;Tuberose, Orange Blossom, Ylang-Ylang, Lily-of-the-valley;Iris, Vanilla, Musk;15%
Acqua di Parma;Isola Blu;Eau de Parfum;Citrus;Top/Middle/Base;Lime, Bergamot, Lemon, Thyme, Lavender;Apple, Orange Blossom, Black Currant, Champaca, Jasmine, Coconut, Lily-of-the-valley;Birch, Cedarwood, Juniper Berry, Grass, Musk, Pink Pepper, Ambergris, Amber, Mate, Oakmoss, Patchouli, Tonka Bean, Anise, Leather, Labdanum, Vanilla, Orris Root;16-18%
Acqua di Parma;Isola Sol;Parfum;Floral, Fruity;Top/Middle/Base;Apricot, Mandarin Orange, Lemon, Bergamot, Peach, Petitgrain;Ylang-Ylang, Jasmine Sambac, Coconut, Neroli;Salt, Musk, Sandalwood, Ambroxan, Cedarwood, Amyris, Pink Pepper;20%
Tom Ford;Italian Cypress;Eau de Parfum;Woody, Chypre;Top/Middle/Base;Citruses, Peppermint, Basil;Cypress, Cedarwood;Patchouli, Tonka Bean, Oakmoss;15-18%
Xerjoff;Italica;Eau de Parfum;Amber, Gourmand;Top/Middle/Base;Milk, Almond, Saffron;Toffee, Vanilla;Sandalwood, White Musk;18-22%
Dior;J’Adore EDP;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Bergamot, Magnolia, Mandarin Orange, Melon, Peach, Pear;Freesia, Jasmine, Lily-of-the-valley, Orchid, Plum, Rose, Tuberose, Violet;Blackberry, Cedarwood, Musk, Vanilla;20%
Tom Ford;Jasmin Rouge;Eau de Parfum;Floral;Top/Middle/Base;Bergamot, Black Pepper, Cardamom, Cinnamon, Ginger, Mandarin Orange;Broom, Clary Sage, Jasmine, Neroli, Ylang-Ylang;Amber, Labdanum, Leather, Vanilla, Woody Notes;15-20%
Maison Margiela;Jazz Club;Eau de Toilette;Leather;Top/Middle/Base;Pink Pepper, Neroli, Lemon;Rum, Vetiver, Clary Sage;Tobacco Leaf, Vanilla, Styrax;10-13%
Jimmy Choo;Jimmy C. Man;Eau de Toilette;Aromatic, Fruity;Top/Middle/Base;Pineapple, Pink Pepper;Lavender, Melon;Suede, Patchouli;12-15%
Amouage;Journey Man;Eau de Parfum;Woody, Spicy;Top/Middle/Base;Sichuan Pepper, Cardamom, Bergamot, Neroli;Tobacco Leaf, Incense, Juniper Berry;Leather, Cypriol, Tonka Bean, Musk;20-23%
Dior;Joy;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Bergamot, Mandarin Orange;Jasmine, Rose, Peach, Black Currant;White Musk, Sandalwood, Cedarwood, Patchouli, Benzoin;20-25%
Amouage;Jubilation XXV Man;Eau de Parfum;Amber, Fougère;Top/Middle/Base;Blackberry, Coriander, Labdanum, Olibanum, Orange, Tarragon;Celery Seeds, Cinnamon, Clove, Guaiac Wood, Honey, Laurel Leaf, Orchid, Rose;Agarwood, Ambergris, Cedarwood, Immortelle, Musk, Myrrh, Oakmoss, Opoponax, Patchouli;22-24%
Xerjoff;Jupiter;Parfum;Woody, Aromatic;Top/Middle/Base;Agarwood, Incense, Saffron, Davana, Labdanum;Patchouli, Sandalwood, Vetiver, Cedarwood;Ambrette, Ambergris, Musk, Tonka Bean, Vanilla;20-23%
Giorgio Armani;K. Flower;Eau de Parfum;Floral;Top/Middle/Base;Bulgarian Rose, Hawthorn, Mandarin Orange;Jasmine, Opoponax, Rose, Violet;Incense, Vanilla, White Musk;20%
Dolce & Gabbana;K. Homme Intense;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Sea Notes, Calypsone, Pink Pepper, Spices;Fig, Fig Tree, Vetiver;Sandalwood, Akigalawood, Patchouli;13-15%
Dolce & Gabbana;K. Pour Homme;Eau de Toilette;Aquatic, Aromatic;Top/Middle/Base;Bergamot, Clary Sage, Lemon, Mahogany, Sea Notes;Caraway, Carnation, Jasmine, Juniper Berry, Lily-of-the-valley, Nutmeg, Orris Root, Peach, Pine, Rose;Amber, Cedarwood, Fir Balsam, Labdanum, Musk, Oakmoss, Sandalwood, Vetiver;15%
Parfums de Marly;Kalan;Eau de Parfum;Spicy, Amber;Top/Middle/Base;Black Pepper, Blood Orange, Spicy Notes;Lavender, Orange Blossom;Amber, Oakmoss, Sandalwood, Tonka Bean, Woody Notes;20-23%
Yves Saint Laurent;Kouros;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Aldehydes, Artemisia, Bergamot, Clary Sage, Coriander;Carnation, Cinnamon, Geranium, Jasmine, Orris Root, Patchouli, Vetiver;Amber, Civet, Honey, Leather, Musk, Oakmoss, Tonka Bean, Vanilla;10%
Lacoste;L.12.12. Blanc;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Grapefruit, Cedar Leaf, Rosemary, Cardamom;Ylang-Ylang, Tuberose;Suede, Cedarwood, Vetiver, Leather;13-15%
Tauer Perfumes;L’air du Désert Marocain;Eau de Toilette;Amber;Top/Middle/Base;Coriander, Caraway, Petitgrain, Lavender;Cistus, Birch, Jasmine, Geranium;Amber, Cedarwood, Vetiver, Patchouli, Oakmoss;15%
Issey Miyake;L’Eau d’I. Noir Ambré;Eau de Parfum;Amber;Top/Middle/Base;Saffron, Cinnamon, Nutmeg, Coriander;Leather, Cedarwood, Cypriol, Vetiver;Amber, Vanilla, Tonka Bean;20-22%
Issey Miyake;L’Eau d’I. Pour Femme;Eau de Toilette;Floral, Aquatic;Top/Middle/Base;Lotus, Melon, Freesia, Rose Water, Rose, Calone, Cyclamen;Lily-of-the-valley, Lily, Peony, Carnation;Musk, Tuberose, Exotic Woods, Osmanthus, Cedarwood, Sandalwood, Amber;10-15%
Maison Francis Kurkdjian;L’Homme à la Rose;Eau de Parfum;Floral, Woody, Musk;Top/Middle/Base;Grapefruit, Clary Sage;Rose de Mai, Damask Rose;Amberwood, Labdanum;18-20%
Guerlain;L’Homme Ideal EDP;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Almond, Spices, Lavender, Bergamot, Rosemary, Thyme;Cherry, Vanilla, Incense, Bulgarian Rose;Leather, Tonka Bean, Sandalwood;18-20%
Guerlain;L’Homme Idéal Platine Privé;Eau de Toilette;Woody;Top/Middle/Base;Grapefruit, Bergamot;Almond, Neroli;Musk, Vetiver;12-15%
Louis Vuitton;L’Immensité;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Grapefruit, Ginger, Bergamot;Watery Notes, Clary Sage, Rosemary;Ambroxan, Cedarwood, Labdanum;20%
Givenchy;L’Interdit EDP;Eau de Parfum;Floral, Amber;Top/Middle/Base;Bergamot, Pear;Jasmine, Orange Blossom, Tuberose;Ambroxan, Patchouli, Vanilla, Vetiver;20%
Afnan;La Capitale;Eau de Parfum;Oriental;Top/Middle/Base;Strawberry, Caramel, Peach, Labdanum;Leather, Saffron, Ginger, Rose;Vanilla, Benzoin, Amber;15-18%
Prada;La Femme;Eau de Parfum;Amber, Floral;Top/Middle/Base;Magnolia, Bergamot, Carrot Seeds;Frangipani, Tuberose, Ylang-Ylang, Iris, Spices;Beeswax, Vanilla, Vetiver;20%
Yves Saint Laurent;La Nuit de L’Homme;Eau de Toilette;Spicy, Woody;Top/Middle/Base;Cardamom;Bergamot, Cedarwood, Lavender;Caraway, Vetiver;10-15%
Yves Saint Laurent;La Nuit de L’Homme Bleu Électrique;Eau de Toilette;Aromatic, Spicy;;Cardamom, Ginger, Bergamot;Lavender, Geranium;Cedarwood, Vetiver;16-18%
LancÃ´me;La Vie Est Belle;Eau de Parfum;Gourmand;Top/Middle/Base;Black Currant, Pear;Iris, Jasmine, Orange Blossom;Patchouli, Praline, Tonka Bean, Vanilla;20%
Paco Rabanne;Lady Million;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Raspberry, Neroli, Lemon;Jasmine, Orange Blossom, Gardenia;Honey, Patchouli, Amber;20%
Paco Rabanne;Lady Million Privé;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Orange Blossom, Woody Notes;Heliotrope, Raspberry, Vanilla;Cocoa, Honey, Patchouli;18-20%
Tom Ford;Lavender Extreme;Eau de Parfum;Aromatic, Fougère;Top/Middle/Base;Lavender, Lemon;Violet, Cinnamon, Geranium, Rose;Tonka Bean, Vanilla, Styrax;20-22%
Parfums de Marly;Layton;Eau de Parfum;Amber, Floral;Top/Middle/Base;Apple, Lavender, Bergamot, Mandarin Orange;Geranium, Violet, Jasmine;Vanilla, Cardamom, Sandalwood, Black Pepper, Patchouli, Guaiac Wood;16-18%
Parfums de Marly;Layton Exclusif;Parfum;Woody;Top/Middle/Base;Bergamot, Grapefruit, Apple;Geranium, Cinnamon, Lavender, Agarwood;Cypriol, Guaiac Wood, Patchouli, Vanilla;20-23%
HermÃ¨s;Le Jardin de Monsieur Li;Eau de Toilette;Citrus, Aromatic;Top/Middle/Base;Bergamot, Kumquat, Mint;Jasmine, Violet, Green Sap;Cedarwood, Musk;10-13%
Chanel;Le Lion;Eau de Parfum;Amber;Top/Middle/Base;Bergamot, Lemon;Labdanum, Amber;Patchouli, Vanilla, Sandalwood, Musk;15%
Jean Paul Gaultier;Le Male;Eau de Toilette;Amber, Fougère;Top/Middle/Base;Lavender, Mint, Cardamom, Bergamot, Artemisia;Cinnamon, Orange Blossom, Caraway;Vanilla, Tonka Bean, Amber, Sandalwood, Cedarwood;15%
Jean Paul Gaultier;Le Male Elixir;Eau de Parfum;Amber, Fougère;Top/Middle/Base;Lavender, Mint;Vanilla, Benzoin;Honey, Tonka Bean, Tobacco;20-22%
Jean Paul Gaultier;Le Male Le Parfum;Eau de Parfum;Amber;Top/Middle/Base;Cardamom;Lavender, Iris;Vanilla, Amber, Woody Notes;15%
Mont Blanc;Legend;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Lavender, Pineapple, Bergamot, Lemon Verbena;Red Apple, Dried Fruits, Oakmoss, Geranium, Rose;Tonka Bean, Sandalwood;10-13%
Prada;Les Infusions Vetiver;Eau de Parfum;Woody, Spicy;Top/Middle/Base;Bergamot, Lime, Tangerine, Ginger, Tarragon;Neroli, Rose, Cardamom;Vetiver;20%
Louis Vuitton;Les Sables Roses;Eau de Parfum;Amber, Floral;Top/Middle/Base;Black Pepper, Saffron;Rose;Agarwood, Ambergris;20%
Yves Saint Laurent;Libre;Eau de Parfum;Amber, Fougère;Top/Middle/Base;Mandarin Orange, Black Currant, Petitgrain, Lavender;Lavender, Orange Blossom, Jasmine;Vanilla, Musk, Cedarwood, Ambergris;20%
Dolce & Gabbana;Light Blue Eau Intense Pour Homme;Eau de Parfum;Woody, Aquatic;Top/Middle/Base;Grapefruit, Mandarin Orange;Sea Water, Juniper Berry;Musk, Amberwood;15-20%
Dolce & Gabbana;Light Blue for Women;Eau de Toilette;Floral, Fruity;Top/Middle/Base;Apple, Bellflower, Cedarwood, Sicilian Lemon;Bamboo, Jasmine, White Rose;Amber, Cedarwood, Musk;20%
Xerjoff;Lira;Eau de Parfum;Amber, Floral;Top/Middle/Base;Blood Orange, Bergamot, Lavender;Cinnamon, Licorice, Jasmine;Caramel, Vanilla, Musk;17-18%
Lolita Lempicka;Lolita EDP;Eau de Parfum;Gourmand;Top/Middle/Base;Anise, Violet, Ivy;Licorice, Sour Cherry, Iris, Amaryllis;Vanilla, Praline, Tonka Bean, White Musk;20%
Burberry;London;Eau de Parfum;Woody, Spicy;Top/Middle/Base;Cumin, Saffron, Cardamom, Black Pepper, Coffee, Coriander;Incense, Labdanum, Jasmine, Geranium;Agarwood, Birch, Cedarwood, Musk, Amyris;17-20%
Guerlain;Cherry Oud;Eau de Parfum;Leather;Top/Middle/Base;Cherry, Cardamom, Cinnamon;Bulgarian Rose, Turkish Rose;Leather, Musk, Agarwood;20-24%
Tom Ford;Lost Cherry;Eau de Parfum;Floral, Oriental;Top/Middle/Base;Bitter Almond, Liquor, Sour Cherry;Jasmine, Plum, Sour Cherry, Turkish Rose;Benzoin, Cedarwood, Cinnamon, Clove, Patchouli, Peru Balsam, Sandalwood, Tonka Bean, Vanilla, Vetiver;20%
Kilian;Love Don’t Be Shy;Eau de Parfum;Amber;Top/Middle/Base;Neroli, Bergamot, Pink Pepper, Coriander;Orange Blossom, Honeysuckle, Jasmine, Iris, Rose;Sugar, Vanilla, Caramel, Musk, Civet, Labdanum;17-20%
Creed;Love in White;Eau de Parfum;Amber, Floral;Top/Middle/Base;Orange, Apple, Apricot;Narcissus, Iris, Jasmine, Magnolia, Rice, Rose;Musk, Cedarwood;20-25%
Amouage;Lovers;Parfum;Floral, Fruity;Top/Middle/Base;Passionfruit, Plum, Ginger, Bergamot;Rose, Saffron, Jasmine;Patchouli, Cashmeran, Cedarwood, Sandalwood, Vetiver;20-24%
Van Cleef & Arpels;Lucky;Eau de Parfum;Floral;Top/Middle/Base;White Flowers;Lily-of-the-valley;Ozonic Notes;15-20%
Prada;Luna Rossa Black;Eau de Parfum;Amber, Woody;Top/Middle/Base;Bergamot, Pink Pepper;Angelica, Patchouli;Tonka Bean, Amber, Musk;17-18%
Prada;Luna Rossa Carbon;Eau de Toilette;Aromatic, Fougère;Top/Middle/Base;Bergamot, Sichuan Pepper;Lavender, Metallic Notes, Watery Notes, Coal, Soil Tincture;Ambroxan, Patchouli;15%
Prada;Luna Rossa Ocean;Eau de Toilette;Woody, Amber;;Bergamot, Pink Pepper, Artemisia;Lavender, Iris, Clary Sage, Suede, Saffron;Musk, Vetiver, Patchouli, Caramel;15-17%
Prada;Luna Rossa Ocean Le Parfum;Parfum;Aromatic, Fougère;Top/Middle/Base;Lemon;Saffron;Amber, Oakwood;20%
Prada;Luna Rossa Sport;Eau de Toilette;Amber, Spicy;Top/Middle/Base;Juniper Berry, Ginger;Lavender;Vanilla, Tonka Bean;17%
Louis Vuitton;LV Lovers;Eau de Parfum;Woody, Aromatic;Top/Middle/Base;Galbanum, Bergamot;Ginger, Solar Notes;Sandalwood, Cedarwood;15-17%
Amouage;Lyric Man;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Lime, Bergamot;Rose, Angelica, Ginger, Orange Blossom, Saffron, Nutmeg, Galbanum;Musk, Incense, Pine, Sandalwood, Vanilla;18-20%
Yves Saint Laurent;M7;Eau de Toilette;Amber, Woody;Top/Middle/Base;Rosemary, Mandarin Orange, Bergamot;Agarwood, Vetiver;Amber, Musk;15%
Yves Saint Laurent;M7 Oud Absolu;Eau de Toilette;Amber, Woody;Top/Middle/Base;Mandarin Orange;Patchouli;Agarwood, Myrrh, Labdanum;10-15%
Bvlgari;Man in Black;Eau de Toilette;Floral, Amber;Top/Middle/Base;Rum, Spicy Notes, Tobacco;Iris, Leather, Tuberose;Benzoin, Guaiac Wood, Tonka Bean;15%
Bvlgari;Man Rain Essence;Eau de Parfum;Floral, Woody;Top/Middle/Base;Green Tea, Orange;Lotus, Musk;Guaiac Wood, Amber;15%
Bvlgari;Man Wood Essence;Eau de Parfum;Woody;Top/Middle/Base;Citruses, Lemon Zest, Coriander;Cypress, Cedarwood, Vetiver;Benzoin;17-20%
Tom Ford;Mandarino Di Amalfi;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Basil, Black Currant, Grapefruit, Lemon, Mint, Tarragon;Black Pepper, Clary Sage, Coriander, Jasmine, Orange Blossom, Shiso;Amber, Civet, Labdanum, Musk, Vetiver;15-20%
Bond No. 9;Manhattan;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Basil, Bergamot, Lavender;Coconut, Jasmine, Heliotrope, Violet, Rose de Mai;Tobacco, Vanilla, Pine, Clove, Ginger, Pink Pepper, Vetiver, Cinnamon, Musk, Benzoin, Patchouli, Oakmoss, Cedarwood;20%
Giorgio Armani;Mania;Eau de Toilette;Woody, Spicy;Top/Middle/Base;Mandarin Orange, Saffron, Citrus Leaves;Cedarwood, Vetiver;Musk, Amber;15%
Moschino;Maraschino;Eau de Parfum;Floral, Fruity;Top/Middle/Base;Cherry, Strawberry, Peach, Apple, Almond;Jasmine, Heliotrope, Mimosa, Iris, Rose;Musk, Sandalwood, Vanilla, Tonka Bean, Vetiver, Amber, Patchouli;14-17%
Maison Francis Kurkdjian;Masculin Pluriel;Eau de Toilette;Woody, Aromatic;Top/Middle/Base;Grapefruit;Cedarwood, Lavender;Patchouli, Vetiver, Leather;15-17%
Louis Vuitton;Matière Noire;Eau de Parfum;Amber, Woody;Top/Middle/Base;Black Currant, Watery Notes;Rose, Cyclamen, Narcissus, Jasmine;Agarwood, Patchouli, Incense, Benzoin;17-18%
Bvlgari;Men Privé;Eau de Toilette;Leather;Top/Middle/Base;Whiskey, Grapefruit, Pomelo;Cardamom, Lavender, Clary Sage, Thyme;Leather, Tonka Bean, Woody Notes, Benzoin;15-16%
Ex Nihilo;Mercurial Cashmere;Eau de Parfum;Amber;Top/Middle/Base;Cardamom, Bergamot, Pink Pepper;Tuberose, Iris, Ambergris, Violet;Caramel, Vanilla, Cashmeran, Tonka Bean, Musk, Agarwood, Cedarwood;20-22%
Tom Ford;Metallique;Eau de Parfum;Aldehydic;Top/Middle/Base;Aldehydes, Bergamot, Pink Pepper;Hawthorn, Heliotrope, Lily-of-the-valley;Ambrette, Peru Balsam, Sandalwood, Vanilla;15-20%
Louis Vuitton;Météore;Eau de Parfum;Citrus, Aromatic;Top/Middle/Base;Mandarin Orange, Orange, Bergamot;Pink Pepper, Black Pepper, Sichuan Pepper, Neroli, Nutmeg, Cardamom;Vetiver;16-20%
Van Cleef & Arpels;Midnight in Paris EDP;Eau de Parfum;Oriental;Top/Middle/Base;Bergamot, Leather, Lemon, Mate, Rosemary;Lily-of-the-valley, Tea;Almond, Amber, Benzoin, Incense, Tonka Bean;15-20%
Van Cleef & Arpels;Midnight in Paris EDT;Eau de Toilette;Amber;Top/Middle/Base;Leather, Bergamot, Lemon, Mate, Rosemary;Tea, Styrax, Lily-of-the-valley;Tonka Bean, Incense, Benzoin, Almond, Amber;10-12%
Roja Dove;Millésime 1849;Eau de Parfum;Woody;Top/Middle/Base;Bergamot, Lemon, Grapefruit, Cypress;Ylang-Ylang, Jasmine, Rose, Iris;Laurel Leaf, Thyme, Cedarwood, Sandalwood, Incense;15-17%
Creed;Millésime Impérial;Eau de Parfum;Floral, Musk, Woody;Top/Middle/Base;Bergamot, Black Currant, Violet Leaf;Iris, Salt, Marine notes;Cedarwood, Musk, Sandalwood;15-18%
Dior;Miss D. Rose N’Roses;Eau de Toilette;Floral;Top/Middle/Base;Geranium, Mandarin Orange, Bergamot;Grasse Rose, Damask Rose;White Musk;15%
Xerjoff;More Than Words;Eau de Parfum;Amber, Woody;Top/Middle/Base;Fruity Notes, Floral Notes;Woody Notes, Oriental Notes;Agarwood, Incense, Labdanum, Ambergris;16-18%
Frederic Malle;Musc Ravageur;Eau de Parfum;Amber;Top/Middle/Base;Lavender, Tangerine, Bergamot;Cinnamon, Clove;Musk, Vanilla, Tonka Bean, Amber, Sandalwood, Guaiac Wood, Cedarwood;20%
Initio;Musk Therapy;Eau de Parfum;Woody, Floral, Musk;Top/Middle/Base;Black Currant, Bergamot, Mandarin Orange;Hedione, Magnolia;White Sandalwood, White Musk;20%
Diptyque;Myrrhe Mystère;Eau de Parfum;Amber, Woody;Top/Middle/Base;Myrrh;Jasmine, Wormwood;Sandalwood, Vanilla, Musk, Leather, Myrrh;17-20%
Yves Saint Laurent;MYSLF;Eau de Parfum;Aromatic;Top/Middle/Base;Bergamot, Petitgrain;Orange Blossom;Ambroxan, Patchouli;15%
Yves Saint Laurent;MYSLF Le Parfum;Parfum;Oriental, Woody;Top/Middle/Base;Black Pepper;Orange Blossom;Vanilla, Amber, Patchouli, Woody Notes;17-20%
Initio;Mystic Experience;Eau de Parfum;Amber, Spicy;Top/Middle/Base;Coffee;Sandalwood, Patchouli;Amber, Vanilla, Oakmoss, Musk;18%
